name,problem_size,num_threads,median_ns,min_ns,max_ns,std_dev_ns,gflops,bandwidth_gbs
matmul_naive_256,256,12,8.0416e+06,7.8805e+06,8.0607e+06,80822.2,4.17261,0.0977955
matmul_ikj_256,256,12,2.5033e+06,325700,7.9908e+06,3.22505e+06,13.4041,0.314158
matmul_tiled_ikj_256,256,12,4.1173e+06,3.7658e+06,4.1687e+06,179048,8.14962,0.191007
matmul_ikj_unroll4_256,256,12,158800,157700,169800,5463.21,211.3,4.95234
matmul_tiled_unroll4_256,256,12,2.3962e+06,1.9859e+06,2.8908e+06,369958,14.0032,0.3282
matmul_tiled_unroll8_256,256,12,941600,901400,975100,30129.3,35.6355,0.835208
matmul_blocked_avx2_256,256,12,379400,330300,883901,250201,88.4408,2.07283
matmul_naive_512,512,12,2.35052e+07,2.25419e+07,2.45287e+07,811232,11.4203,0.133831
matmul_ikj_512,512,12,1.5772e+06,1.3333e+06,1.6251e+06,127771,170.197,1.9945
matmul_tiled_ikj_512,512,12,1.85435e+07,1.70742e+07,1.88093e+07,763040,14.476,0.16964
matmul_ikj_unroll4_512,512,12,5.7177e+06,1.2305e+06,6.0239e+06,2.19103e+06,46.9482,0.550174
matmul_tiled_unroll4_512,512,12,1.21431e+07,1.00389e+07,1.41859e+07,1.69307e+06,22.106,0.259055
matmul_tiled_unroll8_512,512,12,4.4682e+06,4.3346e+06,4.9383e+06,258907,60.0769,0.704026
matmul_blocked_avx2_512,512,12,960200,916400,1.2103e+06,129463,279.562,3.27612
matmul_naive_1024,1024,12,6.45731e+08,6.40635e+08,6.77228e+08,1.61833e+07,3.32566,0.0194863
matmul_ikj_1024,1024,12,1.84981e+07,1.73791e+07,2.03868e+07,1.24122e+06,116.092,0.680227
matmul_tiled_ikj_1024,1024,12,1.16106e+08,1.06441e+08,1.24222e+08,7.26829e+06,18.4959,0.108374
matmul_ikj_unroll4_1024,1024,12,1.48571e+07,1.40402e+07,1.54936e+07,594870,144.543,0.846929
matmul_tiled_unroll4_1024,1024,12,8.85023e+07,8.01713e+07,8.90567e+07,4.06425e+06,24.2647,0.142176
matmul_tiled_unroll8_1024,1024,12,6.10895e+07,5.34743e+07,6.54905e+07,4.96375e+06,35.1531,0.205975
matmul_blocked_avx2_1024,1024,12,1.03098e+07,9.5289e+06,1.06849e+07,481530,208.295,1.22048
matmul_unroll8_T32,1024,12,5.48731e+07,4.82514e+07,5.78268e+07,4.0036e+06,39.1355,0
matmul_unroll8_T64,1024,12,5.73752e+07,4.94845e+07,5.95986e+07,4.33976e+06,37.4288,0
matmul_unroll8_T96,1024,12,6.36454e+07,5.01478e+07,6.43659e+07,6.53927e+06,33.7414,0
matmul_unroll8_T128,1024,12,5.40503e+07,5.08725e+07,6.05061e+07,4.00808e+06,39.7312,0
matmul_unroll8_T192,1024,12,6.66039e+07,6.63175e+07,6.89112e+07,1.16108e+06,32.2426,0
matmul_unroll8_T256,1024,12,7.90901e+07,7.70965e+07,8.57553e+07,3.70246e+06,27.1524,0
